ID,Reference,Site,Lat,Long,Biome,LandUse,HumFoot,MAP,MAT,SOC,BulkDens,SoilNit,SoilSand,soilpH,Methane
397,Teh et al. 2014,"Wayqecha, Peru",-13.19,-71.58,Tropical,Primary Forest,28,443,15,116,119,7,51,7.1,-3.989
398,Fiedler et al. 2008,"Wildmooswald, Germany",47.11,8.11,Boreal,Primary Forest,21,1356,9,270,125,16,42,5.4,-0.292
399,Purbopuspito et al. 2006,"Wuasa, Indonesia",-1.41,120.28,Tropical,Primary Forest,21,1945,20,277,125,20,46,5.2,-3.267
400,Doukalianou et al. 2019,"Xanthi, Greece",41.1576,24.9027,Subtropical,Afforestation,90,574,13,141,132,10,58,6.4,-1.69
401,Mazza et al. 2019,"Xanthi, Greece",41.15,24.9,Subtropical,Reforestation,90,560,14,141,132,10,58,6.4,-1.5
403,Fang et al. 2010,"Xishuangban, China",21.93,101.26,Tropical,Reforestation,34,1658,23,64,125,4,45,5.3,-0.619
404,Palm et al. 2002,"Yurimaguas, Peru",-5.75,-76.08,Tropical,Secondary Forest,28,2117,27,1530,96,79,31,5.2,-3.493
405,Palm et al. 2002,"Yurimaguas, Peru",-5.75,-76.08,Tropical,Reforestation,28,2117,27,1530,96,79,31,5.2,-1.548
406,Iqbal et al. 2009,"Zugui, Chi",30.63,110.3,Subtropical,Afforestation,28,1372,12,168,122,21,26,6.7,-2.269
407,Scharffe et al. 1990,"Guayana Shield, Venezuela",7.85,-62.95,Savanna,Primary Forest,14,1414,27,119,134,14,23,3.7,2.92
408,Scharffe et al. 1991,"Guayana Shield, Venezuela",7.85,-62.95,Tropical,Primary Forest,14,1414,27,119,134,14,23,3.7,-4.198
409,Sanhueza et al. 1994,"Estación Biólogica de los Llanos, Venezuela",8.83,-67.31,Savanna,Primary Forest,26,1232,28,225,130,22,16,5,3.322
410,Poth et al. 1995,"IBGE, Brasilia, Brasil",-15.9327,-47.85055,Savanna,Primary Forest,28,1520,20,207,107,15,47,5.2,4.198
411,Anderson & Poth 1998,"IBGE, Brasilia, Brasil",-15.9327,-47.85055,Savanna,Primary Forest,28,1520,20,207,107,15,47,5.2,-6.205
412,Otter & Scholes 2000,Nylsvley Nature Reserve,-24.65,28.7,Savanna,Primary Forest,14,565,19,88,137,10,38,7,-1.022
413,Otter & Scholes 2000,Nylsvley Nature Reserve,-24.65,28.7,Savanna,Primary Forest,14,565,19,88,137,10,38,7,-0.84
414,Zepp et al. 1996,"KNP, South Africa",-25.183298,31.287822,Savanna,Primary Forest,12,702,21,69,137,6,68,6.3,-5.95
415,Premié & Christensen 1999,"Dalun, Ghana",9.58333,-0.96666,Savanna,Primary Forest,32,1056,28,62,149,6,81,6.3,-1.405
416,Premié & Christensen 1999,"Dalun, Ghana",9.58333,-0.96666,Savanna,Secondary Forest,32,1056,28,62,149,6,81,6.3,-1.606
417,Premié & Christensen 1999,"Dalun, Ghana",9.58333,-0.96666,Savanna,Secondary Forest,32,1056,28,62,149,6,81,6.3,-1.624
418,Premié & Christensen 1999,"Tamale, Ghana",9.25,-1.83,Savanna,Primary Forest,25,1038,28,144,137,11,57,6.6,-0.803
419,Díaz et al. 2018,"National Reserve, Santiago, Chile",-34.13,-71.05,Savanna,Secondary Forest,28,542,17,107,137,12,45,6.9,0.016
420,Díaz et al. 2018,"National Reserve, Santiago, Chile",-34.13,-71.05,Subtropical,Secondary Forest,28,542,17,107,137,12,45,6.9,-0.012
421,Borken & Brumme 1997,"Solling, Germany (B1)",51.73,9.6,Temperate,Reforestation,28,993,7,263,123,29,52,6.2,-0.191
422,Borken & Brumme 1997,"Solling, Germany (F1)",51.73,9.6,Temperate,Reforestation,28,993,7,263,123,29,52,6.2,-1.073
423,Borken & Brumme 1997,"Lappwald, Germany (LB)",52.25,11.3,Temperate,Reforestation,53,569,9,198,129,13,52,6.4,-0.724
424,Borken & Brumme 1997,"Lappwald, Germany (LF)",52.25,11.3,Temperate,Reforestation,53,569,9,198,129,13,52,6.4,-0.152
425,Bowden et al. 1993,"Harvard Forest, USA",42.5,-72.2,Temperate,Reforestation,28,1105,7,736,106,60,70,5,-4.292
426,Brumme & Borken 1999,"Göttingen, Germany",51.53,9.93,Temperate,Reforestation,87,638,9,143,128,12,40,6.1,-2.48
427,Brumme & Borken 2000,"Lappwald, Germany (LB)",52.25,11.3,Temperate,Reforestation,53,569,9,198,129,13,52,6.4,-1.34
428,Brumme & Borken 2001,"Harste, Germany",51.53,9.93,Temperate,Reforestation,87,638,9,143,128,12,40,6.1,-0.75
429,Brumme & Borken 2002,"Solling, Germany (F1)",51.73,9.6,Temperate,Reforestation,28,993,7,263,123,29,52,6.2,-0.73
430,Brumme & Borken 2003,"Spanbeck, Germany",51.53,9.93,Temperate,Reforestation,87,638,9,143,128,12,40,6.1,-0.3
431,Brumme & Borken 2004,"Lappwald, Germany (LF)",52.25,11.3,Temperate,Reforestation,53,569,9,198,129,13,52,6.4,-0.19
432,Brumme & Borken 2005,"Solling, Germany (B1)",51.73,9.6,Temperate,Reforestation,28,993,7,263,123,29,52,6.2,-0.1
433,Burke et al. 1999,"UGA HorseShoe Bend, USA",33.9,-83.4,Subtropical,Secondary Forest,71,1255,17,72,147,14,59,5.6,-2.65
434,Castro et al. 1995,"Harvard Forest, USA",42.5,-72.16,Temperate,Reforestation,21,1094,7,778,98,52,67,5,-0.533
435,Castro et al. 1996,"Harvard Forest, USA",42.5,-72.16,Temperate,Reforestation,21,1094,7,778,98,52,67,5,-0.504
436,Castro et al. 1997,"Harvard Forest, USA",42.5,-72.16,Temperate,Reforestation,21,1094,7,778,98,52,67,5,-0.197
437,Castro et al. 1998,"Harvard Forest, USA",42.5,-72.16,Temperate,Reforestation,21,1094,7,778,98,52,67,5,-0.343
438,Crill et al. 1991,"UNH College Woods, USA",43.13,-71.95,Temperate,Primary Forest,28,1085,7,426,107,59,67,4.9,-6.249
439,Delmas et al. 1992,"Dimonika, Congo",-4.5,12.9,Tropical,Primary Forest,21,1236,24,193,123,17,35,6,-6.972
440,Delmas et al. 1992,"Dimonika, Congo",-4.5,12.9,Tropical,Primary Forest,21,1236,24,193,123,17,35,6,-1.168
441,Dong et al. 1998,"Darmstadt, Germany",49.86,8.65,Temperate,Primary Forest,87,728,10,169,128,14,56,5.5,-6.716
442,Eggleton et al. 1999,"Danum Valley Conservation Area, Malaysia",4.96,117.8,Tropical,Primary Forest,21,2185,27,159,130,13,39,5.1,-1.3
443,Eggleton et al. 2000,"Danum Valley Conservation Area, Malaysia",4.96,117.8,Tropical,Secondary Forest,21,2185,27,159,130,13,39,5.1,-1.15
444,Eggleton et al. 2001,"Danum Valley Conservation Area, Malaysia",4.96,117.8,Tropical,Secondary Forest,21,2185,27,159,130,13,39,5.1,-0.93
445,Gulledge et al. 1997,"Bonanza Creek, USA",64.75,-148.3,Boreal,Primary Forest,20,296,-2,1606,69,44,36,5,-2.117
446,Hudgens & Yavitt 1997,"Ithaca, USA",42.5,-76.5,Temperate,Primary Forest,84,916,8,311,120,14,22,6.4,-3.249
447,Hudgens & Yavitt 1998,"Trumansburg, USA",42.5,-76.5,Temperate,Primary Forest,84,916,8,311,120,14,22,6.4,-3.577
448,Hudgens & Yavitt 1999,"Ithaca, USA",42.5,-76.5,Temperate,Secondary Forest,84,916,8,311,120,14,22,6.4,-1.095
449,Hudgens & Yavitt 2000,"Trumansburg, USA",42.5,-76.5,Temperate,Secondary Forest,84,916,8,311,120,14,22,6.4,-1.497
450,Hudgens & Yavitt 2001,"Ithaca, USA",42.5,-76.5,Temperate,Reforestation,84,916,8,311,120,14,22,6.4,-1.898
451,Hudgens & Yavitt 2002,"Trumansburg, USA",42.5,-76.5,Temperate,Reforestation,84,916,8,311,120,14,22,6.4,-4.818
452,Keller & Reiners 1994,"La Selva, Costa Rica",10.43,-84,Tropical,Primary Forest,46,3707,26,425,123,37,23,4.7,-4.599
453,Keller & Reiners 1994,"La Selva, Costa Rica",10.43,-84,Tropical,Primary Forest,46,3707,26,425,123,37,23,4.7,-4.38
454,Klemedtsson & Klemedtsson 1997,"Gårdsjön, Sweden",58.6,12.1,Temperate,Reforestation,21,900,6,482,122,26,46,5.7,-1.387
455,MacDonald et al. 1997,"Dunslair, Scotland",55.67,-3.13,Temperate,Reforestation,48,1436,7,3258,51,10,62,3.9,-1.716
456,MacDonald et al. 1997,"Dunslair, Scotland",55.67,-3.13,Temperate,Reforestation,48,1436,7,3258,51,10,62,3.9,-0.84
457,MacDonald et al. 1997,"Dunslair, Scotland",55.67,-3.13,Temperate,Reforestation,48,1436,7,3258,51,10,62,3.9,-1.825
458,MacDonald et al. 1997,"Dunslair, Scotland",55.67,-3.13,Temperate,Reforestation,48,1436,7,3258,51,10,62,3.9,-0.803
459,MacDonald et al. 1999,"Mbalmayo forest, Cameroon",3.51,11.5,Tropical,Primary Forest,67,1690,24,184,129,11,55,5.2,-8.578
460,MacDonald et al. 1999,"Mbalmayo forest, Cameroon",3.51,11.5,Tropical,Secondary Forest,67,1690,24,184,129,11,55,5.2,-5.512
461,MacDonald et al. 1999,"Ulu Segama Forest Reserve, Borneo",4.96,117.8,Tropical,Primary Forest,21,2185,27,159,130,13,39,5.1,-4.855
462,MacDonald et al. 1999,"Ulu Segama Forest Reserve, Borneo",4.96,117.8,Tropical,Secondary Forest,21,2185,27,159,130,13,39,5.1,-4.38
463,MacDonald et al. 1999,"Ulu Segama Forest Reserve, Borneo",4.96,117.8,Tropical,Secondary Forest,21,2185,27,159,130,13,39,5.1,-3.395
464,McHale et al. 1998,"Anna and Archer Huntingyon Wildlife Forest, USA",43.98,-74.23,Temperate,Primary Forest,20,1062,5,451,99,64,65,5,-1.971
465,Priemé & Christensen 1997,"Copenhagen Danish forest, Denmark",55.66,12.56,Temperate,Reforestation,NA,616,9,456,137,10,54,5.8,-2.212
466,Rustad & Fernandez 1998,"Howland Integrated Forest Study, USA",45.16,-68.66,Temperate,Reforestation,20,1060,6,1389,91,81,28,5.3,-0.365
467,Singh et al. 1997,"Hathinala, India",24.3,83.1,Tropical,Primary Forest,34,1098,25,85,146,7,68,6.3,-1.789
468,Singh et al. 1997,"Hathinala, India",24.3,83.1,Tropical,Primary Forest,34,1098,25,85,146,7,68,6.3,-1.314
469,Singh et al. 1997,"Marihan, India",25.45,81.85,Tropical,Primary Forest,93,927,26,28,139,6,52,9.2,-1.46
470,Singh et al. 1997,"Marihan, India",25.45,81.85,Tropical,Primary Forest,93,927,26,28,139,6,52,9.2,-2.081
471,Singh et al. 1997,"Telburva, India",24.3,83.1,Savanna,Primary Forest,34,1098,25,85,146,7,68,6.3,-1.752
472,Whalen et al. 1991,"Bonanza Creek, USA",64.75,-148.3,Boreal,Afforestation,20,296,-2,1606,69,44,36,5,-1.57
473,Whalen et al. 1992,"Bonanza Creek, USA",64.75,-148.3,Boreal,Afforestation,20,296,-2,1606,69,44,36,5,0
474,Whalen et al. 1993,"Bonanza Creek, USA",64.75,-148.3,Boreal,Afforestation,20,296,-2,1606,69,44,36,5,-0.949
475,Whalen et al. 1994,"Bonanza Creek, USA",64.75,-148.3,Boreal,Afforestation,20,296,-2,1606,69,44,36,5,-1.46
476,Whalen et al. 1995,"Bonanza Creek, USA",64.75,-148.3,Boreal,Afforestation,20,296,-2,1606,69,44,36,5,-2.044
477,Whalen et al. 1996,"Bonanza Creek, USA",64.75,-148.3,Boreal,Afforestation,20,296,-2,1606,69,44,36,5,5.092
478,Whalen et al. 1997,"Bonanza Creek, USA",64.75,-148.3,Boreal,Afforestation,20,296,-2,1606,69,44,36,5,0.913
479,Whalen et al. 1998,"Bonanza Creek, USA",64.75,-148.3,Boreal,Afforestation,20,296,-2,1606,69,44,36,5,-0.59
480,Whalen et al. 1999,"Bonanza Creek, USA",64.75,-148.3,Boreal,Afforestation,20,296,-2,1606,69,44,36,5,-0.614
481,Whalen et al. 2000,"Bonanza Creek, USA",64.75,-148.3,Boreal,Afforestation,20,296,-2,1606,69,44,36,5,-0.578
482,Yavitt et al. 1990b,"Monongahela National Park, USA",39.5,-79.43,Temperate,Primary Forest,21,1202,9,232,140,20,39,4.5,-0.438
483,Yavitt et al. 1990b,"Monongahela National Park, USA",39.5,-79.43,Temperate,Primary Forest,21,1202,9,232,140,20,39,4.5,0.015
484,Yavitt et al. 1990b,"Monongahela National Park, USA",38.4,-80,Temperate,Primary Forest,34,1400,7,125,144,41,38,4.7,0.073
485,Yavitt et al. 1990b,"Monongahela National Park, USA",38.4,-80,Temperate,Primary Forest,34,1400,7,125,144,41,38,4.7,-0.004
486,Livesley et al. 2009,"Manypeaks, Australia",-34.833,118.166,Savanna,Primary Forest,23,720,15,92,138,6,75,6.1,-1.384
487,Livesley et al. 2009,"Manypeaks, Australia",-34.833,118.166,Savanna,Reforestation,23,720,15,92,138,6,75,6.1,-0.438
488,Livesley et al. 2009,"Manypeaks, Australia",-34.833,118.166,Savanna,Reforestation,23,720,15,92,138,6,75,6.1,-0.603
